frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
0.000000,0.00003824,-92.6997,dc
1.953492,0.00005268,-89.9166,noise
3.906984,0.00003634,-93.1422,noise
5.860476,0.00009125,-85.1447,noise
7.813968,0.00021598,-77.6613,noise
9.767460,0.00033930,-73.7381,noise
11.720952,0.00040020,-72.3042,noise
13.674444,0.00041258,-72.0396,noise
15.627936,0.00041062,-72.0809,noise
17.581428,0.00041782,-71.9299,noise
19.534920,0.00042890,-71.7025,noise
21.488412,0.00037344,-72.9053,noise
23.441904,0.00022869,-77.1649,noise
25.395398,0.00017898,-79.2934,noise
27.348888,0.00026557,-75.8662,noise
29.302382,0.00025818,-76.1113,noise
31.255872,0.00028809,-75.1591,noise
33.209364,0.00047750,-70.7702,noise
35.162856,0.00063245,-68.3292,noise
37.116350,0.00064316,-68.1833,noise
39.069840,0.00047913,-70.7407,noise
41.023336,0.00018643,-78.9396,noise
42.976824,0.00023968,-76.7570,noise
44.930316,0.00049903,-70.3871,noise
46.883810,0.00061518,-68.5696,noise
48.837300,0.00059210,-68.9017,noise
50.790796,0.00047312,-70.8503,noise
52.744284,0.00031017,-74.5176,noise
54.697776,0.00024012,-76.7411,noise
56.651268,0.00033554,-73.8349,noise
58.604764,0.00044929,-71.2991,noise
60.558256,0.00053338,-69.8089,noise
62.511744,0.00053049,-69.8561,noise
64.465240,0.00039820,-72.3477,noise
66.418730,0.00026395,-75.9193,noise
68.372220,0.00030480,-74.6695,noise
70.325716,0.00028203,-75.3438,noise
72.279208,0.00008959,-85.3043,noise
74.232700,0.00017789,-79.3464,noise
76.186190,0.00036901,-73.0090,noise
78.139680,0.00039414,-72.4366,noise
80.093170,0.00026979,-75.7293,noise
82.046670,0.00017337,-79.5704,noise
84.000160,0.00020978,-77.9143,noise
85.953650,0.00014598,-81.0639,noise
87.907140,0.00002529,-96.2896,noise
89.860632,0.00018052,-79.2191,noise
91.814132,0.00023009,-77.1117,noise
93.767620,0.00017705,-79.3879,noise
95.721110,0.00010388,-84.0187,noise
97.674600,0.00013382,-81.8193,noise
99.628100,0.00019663,-78.4766,noise
101.581590,0.00023183,-77.0462,noise
103.535080,0.00022039,-77.4860,noise
105.488570,0.00021892,-77.5440,noise
107.442060,0.00034280,-73.6489,noise
109.395550,0.00047934,-70.7367,noise
111.349048,0.00048696,-70.5998,noise
113.302536,0.00032086,-74.2233,noise
115.256030,0.00012064,-82.7200,noise
117.209528,0.00028640,-75.2101,noise
119.163020,0.00038019,-72.7497,noise
121.116510,0.00033655,-73.8087,noise
123.070000,0.00028763,-75.1730,noise
125.023490,0.00023176,-77.0488,noise
126.976980,0.00012759,-82.2336,noise
128.930480,0.00022769,-77.2029,noise
130.883970,0.00043886,-71.5031,noise
132.837460,0.00057231,-69.1970,noise
134.790960,0.00055273,-69.4994,noise
136.744440,0.00038350,-72.6745,noise
138.697940,0.00016522,-79.9884,noise
140.651430,0.00010785,-83.6933,noise
142.604920,0.00009906,-84.4315,noise
144.558410,0.00005579,-89.4183,noise
146.511900,0.00015119,-80.7594,noise
148.465400,0.00018963,-78.7916,noise
150.418880,0.00025615,-76.1798,noise
152.372380,0.00038716,-72.5918,noise
154.325860,0.00043686,-71.5429,noise
