sample,time_s,raw_u16,code12,voltage_V
0,0.000059000,50796,3174,2.557821
1,0.000514000,53853,3365,2.711756
2,0.001008000,46187,2886,2.325736
3,0.001509000,30807,1925,1.551279
4,0.002009000,16820,1051,0.846967
5,0.002508000,12419,776,0.625356
6,0.003008000,20164,1260,1.015354
7,0.003514000,35752,2234,1.800284
8,0.004014000,49676,3104,2.501424
9,0.004514000,53917,3369,2.714978
10,0.005014000,46043,2877,2.318485
11,0.005513000,30663,1916,1.544028
12,0.006013000,16708,1044,0.841328
13,0.006513000,12435,777,0.626162
14,0.007013000,20244,1265,1.019382
15,0.007513000,35672,2229,1.796255
16,0.008013000,49548,3096,2.494978
17,0.008512000,53837,3364,2.710950
18,0.009013000,46011,2875,2.316874
19,0.009512000,30647,1915,1.543223
20,0.010012000,16756,1047,0.843745
21,0.010511000,12403,775,0.624550
22,0.011011000,20212,1263,1.017771
23,0.011510000,35592,2224,1.792227
24,0.012010000,49532,3095,2.494172
25,0.012511000,53869,3366,2.712561
26,0.013010000,46107,2881,2.321708
27,0.013511000,30695,1918,1.545640
28,0.014011000,16660,1041,0.838910
29,0.014510000,12323,770,0.620522
30,0.015010000,20244,1265,1.019382
31,0.015510000,35528,2220,1.789004
32,0.016010000,49596,3099,2.497395
33,0.016510000,53933,3370,2.715784
34,0.017010000,46235,2889,2.328153
35,0.017510000,30743,1921,1.548057
36,0.018009000,16628,1039,0.837299
37,0.018509000,12339,771,0.621328
38,0.019009000,20196,1262,1.016965
39,0.019514000,35688,2230,1.797061
40,0.020014000,49692,3105,2.502229
41,0.020513000,53917,3369,2.714978
42,0.021013000,46091,2880,2.320902
43,0.021513000,30631,1914,1.542417
44,0.022013000,16692,1043,0.840522
45,0.022513000,12435,777,0.626162
46,0.023013000,20276,1267,1.020993
47,0.023513000,35624,2226,1.793838
48,0.024013000,49660,3103,2.500618
49,0.024513000,53853,3365,2.711756
50,0.025012000,46091,2880,2.320902
51,0.025513000,30631,1914,1.542417
52,0.026012000,16724,1045,0.842133
53,0.026512000,12467,779,0.627773
54,0.027011000,20132,1258,1.013742
55,0.027510000,35560,2222,1.790616
56,0.028011000,49452,3090,2.490144
57,0.028511000,53901,3368,2.714173
58,0.029010000,46059,2878,2.319290
59,0.029509000,30791,1924,1.550474
60,0.030009000,16820,1051,0.846967
61,0.030509000,12387,774,0.623745
62,0.031009000,20084,1255,1.011325
63,0.031508000,35544,2221,1.789810
64,0.032008000,49500,3093,2.492561
65,0.032514000,53869,3366,2.712561
66,0.033014000,46011,2875,2.316874
67,0.033514000,30583,1911,1.540000
68,0.034014000,16612,1038,0.836493
69,0.034513000,12387,774,0.623745
70,0.035013000,20212,1263,1.017771
71,0.035513000,35640,2227,1.794644
72,0.036013000,49564,3097,2.495784
73,0.036513000,53949,3371,2.716590
74,0.037012000,46123,2882,2.322513
75,0.037512000,30679,1917,1.544834
76,0.038011000,16772,1048,0.844550
77,0.038511000,12387,774,0.623745
78,0.039011000,20164,1260,1.015354
79,0.039511000,35624,2226,1.793838
80,0.040010000,49580,3098,2.496590
81,0.040510000,53837,3364,2.710950
82,0.041010000,46107,2881,2.321708
83,0.041509000,30775,1923,1.549668
84,0.042009000,16788,1049,0.845356
85,0.042509000,12419,776,0.625356
86,0.043009000,20212,1263,1.017771
87,0.043508000,35544,2221,1.789810
88,0.044014000,49708,3106,2.503035
89,0.044514000,53901,3368,2.714173
90,0.045014000,46043,2877,2.318485
91,0.045514000,30679,1917,1.544834
92,0.046014000,16724,1045,0.842133
93,0.046514000,12387,774,0.623745
94,0.047014000,20276,1267,1.020993
95,0.047514000,35656,2228,1.795450
96,0.048013000,49596,3099,2.497395
97,0.048513000,53837,3364,2.710950
98,0.049013000,46027,2876,2.317679
99,0.049512000,30647,1915,1.543223
100,0.050012000,16724,1045,0.842133
101,0.050512000,12371,773,0.622939
102,0.051011000,20228,1264,1.018576
103,0.051511000,35592,2224,1.792227
104,0.052011000,49580,3098,2.496590
105,0.052510000,53933,3370,2.715784
106,0.053010000,46171,2885,2.324930
107,0.053510000,30775,1923,1.549668
108,0.054010000,16804,1050,0.846162
109,0.054509000,12419,776,0.625356
110,0.055009000,20164,1260,1.015354
111,0.055508000,35544,2221,1.789810
112,0.056014000,49692,3105,2.502229
113,0.056514000,53901,3368,2.714173
114,0.057014000,46091,2880,2.320902
115,0.057513000,30647,1915,1.543223
116,0.058013000,16676,1042,0.839716
117,0.058512000,12355,772,0.622133
118,0.059012000,20212,1263,1.017771
119,0.059512000,35672,2229,1.796255
120,0.060012000,49580,3098,2.496590
121,0.060512000,53901,3368,2.714173
