sample,time_s,raw_u16,code12,voltage_V
0,0.000061000,58926,3682,2.967205
1,0.000510000,53325,3332,2.685168
2,0.001012000,35912,2244,1.808341
3,0.001512000,16852,1053,0.848579
4,0.002011000,7361,460,0.370661
5,0.002511000,12979,811,0.653555
6,0.003011000,30295,1893,1.525498
7,0.003510000,49260,3078,2.480476
8,0.004010000,58830,3676,2.962371
9,0.004509000,53309,3331,2.684362
10,0.005008000,35976,2248,1.811563
11,0.005508000,16932,1058,0.852607
12,0.006014000,7425,464,0.373884
13,0.006508000,12931,808,0.651138
14,0.007014000,30503,1906,1.535972
15,0.007513000,49388,3086,2.486922
16,0.008013000,58830,3676,2.962371
17,0.008512000,53132,3320,2.675450
18,0.009012000,35848,2240,1.805118
19,0.009512000,16836,1052,0.847773
20,0.010012000,7409,463,0.373079
21,0.010511000,13011,813,0.655166
22,0.011011000,30375,1898,1.529526
23,0.011511000,49372,3085,2.486116
24,0.012011000,58926,3682,2.967205
25,0.012510000,53293,3330,2.683557
26,0.013010000,35912,2244,1.808341
27,0.013511000,16868,1054,0.849384
28,0.014011000,7425,464,0.373884
29,0.014510000,12995,812,0.654360
30,0.015010000,30311,1894,1.526304
31,0.015509000,49340,3083,2.484504
32,0.016009000,58878,3679,2.964788
33,0.016509000,53309,3331,2.684362
34,0.017009000,35960,2247,1.810758
35,0.017508000,16884,1055,0.850190
36,0.018008000,7441,465,0.374690
37,0.018508000,12915,807,0.650332
38,0.019014000,30535,1908,1.537583
39,0.019514000,49500,3093,2.492561
40,0.020014000,58910,3681,2.966400
41,0.020514000,53148,3321,2.676256
42,0.021014000,35736,2233,1.799478
43,0.021514000,16804,1050,0.846162
44,0.022014000,7409,463,0.373079
45,0.022513000,13011,813,0.655166
46,0.023013000,30471,1904,1.534360
47,0.023512000,49420,3088,2.488533
48,0.024013000,58894,3680,2.965594
49,0.024513000,53244,3327,2.681089
50,0.025012000,35896,2243,1.807535
51,0.025512000,16868,1054,0.849384
52,0.026011000,7409,463,0.373079
53,0.026511000,12947,809,0.651943
54,0.027011000,30279,1892,1.524692
55,0.027510000,49324,3082,2.483699
56,0.028010000,58814,3675,2.961566
57,0.028510000,53261,3328,2.681946
58,0.029010000,35944,2246,1.809952
59,0.029510000,16948,1059,0.853413
60,0.030010000,7393,462,0.372273
61,0.030509000,12931,808,0.651138
62,0.031009000,30247,1890,1.523081
63,0.031508000,49228,3076,2.478865
64,0.032014000,58910,3681,2.966400
65,0.032514000,53228,3326,2.680284
66,0.033013000,35848,2240,1.805118
67,0.033514000,16836,1052,0.847773
68,0.034013000,7361,460,0.370661
69,0.034513000,13011,813,0.655166
70,0.035013000,30343,1896,1.527915
71,0.035512000,49388,3086,2.486922
72,0.036012000,58830,3676,2.962371
73,0.036513000,53180,3323,2.677867
74,0.037013000,35816,2238,1.803506
75,0.037512000,16836,1052,0.847773
76,0.038012000,7441,465,0.374690
77,0.038511000,12963,810,0.652749
